name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,output_type,gtex_tissue,histone_mark,transcription_factor
CLO:0026258 ATAC-seq,.,ATAC-seq,CLO:0026258,GM18858,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026782 ATAC-seq,.,ATAC-seq,CLO:0026782,GM19397,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026790 ATAC-seq,.,ATAC-seq,CLO:0026790,GM19395,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026824 ATAC-seq,.,ATAC-seq,CLO:0026824,GM19438,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026846 ATAC-seq,.,ATAC-seq,CLO:0026846,GM19452,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026863 ATAC-seq,.,ATAC-seq,CLO:0026863,GM19455,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026874 ATAC-seq,.,ATAC-seq,CLO:0026874,GM19463,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0026877 ATAC-seq,.,ATAC-seq,CLO:0026877,GM19467,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0027429 ATAC-seq,.,ATAC-seq,CLO:0027429,GM19372,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0027432 ATAC-seq,.,ATAC-seq,CLO:0027432,GM19351,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0027443 ATAC-seq,.,ATAC-seq,CLO:0027443,GM19324,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
CLO:0027445 ATAC-seq,.,ATAC-seq,CLO:0027445,GM19328,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0001086 ATAC-seq,.,ATAC-seq,EFO:0001086,A549,cell_line,adult,encode,single,False,OutputType.ATAC,,,
EFO:0001187 ATAC-seq,.,ATAC-seq,EFO:0001187,HepG2,cell_line,child,encode,paired,False,OutputType.ATAC,,,
EFO:0001196 ATAC-seq,.,ATAC-seq,EFO:0001196,IMR-90,cell_line,embryonic,encode,paired,False,OutputType.ATAC,,,
EFO:0001203 ATAC-seq,.,ATAC-seq,EFO:0001203,MCF-7,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0001221 ATAC-seq,.,ATAC-seq,EFO:0001221,NCI-H929,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0002067 ATAC-seq,.,ATAC-seq,EFO:0002067,K562,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0002074 ATAC-seq,.,ATAC-seq,EFO:0002074,PC-3,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0002713 ATAC-seq,.,ATAC-seq,EFO:0002713,Panc1,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0002784 ATAC-seq,.,ATAC-seq,EFO:0002784,GM12878,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0002824 ATAC-seq,.,ATAC-seq,EFO:0002824,HCT116,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0005332 ATAC-seq,.,ATAC-seq,EFO:0005332,GM18505,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0007074 ATAC-seq,.,ATAC-seq,EFO:0007074,DND-41,cell_line,child,encode,paired,False,OutputType.ATAC,,,
EFO:0007610 ATAC-seq,.,ATAC-seq,EFO:0007610,RWPE2,cell_line,unknown,encode,paired,False,OutputType.ATAC,,,
EFO:0007950 ATAC-seq,.,ATAC-seq,EFO:0007950,GM23338,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0009747 ATAC-seq,.,ATAC-seq,EFO:0009747,WTC11,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010835 ATAC-seq,.,ATAC-seq,EFO:0010835,GM19023,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010836 ATAC-seq,.,ATAC-seq,EFO:0010836,GM19025,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010837 ATAC-seq,.,ATAC-seq,EFO:0010837,GM19043,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010838 ATAC-seq,.,ATAC-seq,EFO:0010838,GM21515,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010839 ATAC-seq,.,ATAC-seq,EFO:0010839,GM21737,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010840 ATAC-seq,.,ATAC-seq,EFO:0010840,GM21786,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010841 ATAC-seq,.,ATAC-seq,EFO:0010841,HG02571,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
EFO:0010842 ATAC-seq,.,ATAC-seq,EFO:0010842,HG02588,cell_line,adult,encode,paired,False,OutputType.ATAC,,,
